GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
trenes,lineales.dinamicas,Lista,235,72,44,10,72,25,32,6,8,3
trenes,lineales.dinamicas,Cola,195,0,28,0,56,0,22,0,8,0
trenes,lineales.dinamicas,Nodo,16,13,0,0,7,6,3,3,3,3
trenes,grafos,Grafo,1428,33,244,2,356,12,149,3,26,3
trenes,grafos,NodoVert,27,9,0,0,12,4,7,1,7,1
trenes,grafos,NodoAdy,30,0,0,0,13,0,7,0,7,0
trenes,test,MiSubte,1462,0,45,0,372,0,48,0,17,0
trenes,especificos,Diccionario,899,6,132,0,205,3,92,1,26,1
trenes,especificos,NodoAVLDicc,58,0,0,0,24,0,10,0,10,0
trenes,utiles,TecladoIn,574,0,46,0,226,0,44,0,21,0
trenes,trenesSubterraneos,Estacion,56,23,0,0,19,8,13,1,13,1
trenes,trenesSubterraneos,Linea,66,0,0,0,23,0,12,0,12,0
trenes,trenesSubterraneos,TrenesSubterraneos,376,72,27,3,80,17,31,6,16,6
trenes,conjuntistas,NodoAVL,45,0,0,0,19,0,8,0,8,0
trenes,conjuntistas,ArbolAVL,951,0,142,0,224,0,105,0,34,0
